Date,Content,Created by,Labels,Reach,Completion rate (%),Video replays,Watched fully,Engagement,Engagement rate per impression (%),Engagement rate per reach (%),Impressions,Url
07/30/2024 01:38 PM EST -0500,"⚡️FELIZ DÍA DE LA AMISTAD⚡️ Les deseamos desde la equipa de GenV. ¡Comparte el video a tus amistades, tírales la papa y diles qué admiras de ellas! 💚  #amistad #diadeamistad #genv #amigasveganas #veganismo #diadelamigo",,,0,100.0,0,0,0,0.0,0.0,0,https://www.tiktok.com/@genv_esp/video/7397499977187986720?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/12/2023 07:09 PM EST -0500,"¿LA NAVIDAD ES DIFICIL PARA TI? 🐷🎄 Ya sea que tus amigues continúen preguntándote de dónde obtienes tu proteína, o que no tengas muchas opciones de comida en las fiestas con tu familia, esta época del año puede ser difícil para las personas veganas. ✨️ 👉🏽Aquí hay algunos consejos que podrían ayudarte. ¡Recuerda que no estás sola! #tipsnavideños #NavidadVegana #FelizNavidad #felicesfiestas #vidavegana ",,,0,100.0,0,0,0,0.0,0.0,0,https://www.tiktok.com/@genv_esp/video/7311864761153621280?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/13/2023 06:58 PM EST -0500,🍋🎄Hoy te compartimos esta deliciosa receta barata y muy mexicana para probar en las fiestas. CARLOTA DE LIMON CON PROTEÍNA 🍋Necesitarás: 3 paquetes de tofu silken 3/4 taza de jugo de limón  3/4 taza de azúcar 3 cucharaditas de extracto de vainilla  2 y 1/2 paquetes de galletas tipo María (aptas) 🍋Agrega todos los ingredientes excepto las galletas a la licuadora y procesa muy bien hasta que obtengas una textura súper cremosa. En tu molde o refractario haz una capa de galletas al fondo. Agrega una capa de la crema de tofu para cubrir las galletas. Sobre el tofu agrega otra capa de galletas y cúbrelas con otra capa de tofu. Continúa así hasta terminar con una capa de tofu por encima. Deja que repose en el refrigerador toda la noche. 🍋Al día siguiente decora con un poco de ralladura de limón y moronitas de galleta. Corta cuadros y sirve. 💕¡Comparte esta receta para que esta Navidad sea más vegana que nunca! 🎄 🗂️Guarda para tenerla siempre al alcance ✏️Déjanos tu opinión en los comentarios 🫶 Gracias a @casaanimalplaya #RecetaVegana #RecetaMexicana #Recetas #deliciosa #delicious #parati #postresveganos #postresnavideños  #recetasfaciles #recetasbaratas  #limón ,,,487,10.3,81,3,39,6.9,8.0,568,https://www.tiktok.com/@genv_esp/video/7312232993706216736?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/14/2023 07:51 AM EST -0500,"🌱💬 ¡Conoce la inspiradora historia de Alba Peinado y su viaje hacia el veganismo en familia! Descubre cómo están cambiando el mundo, un bocado a la vez.  #VeganismoFamiliar #HistoriaDeTransformación #veganismo #mamavegana #familiavegana #comovegano ",,,463,52.4,60,106,98,18.7,21.2,523,https://www.tiktok.com/@genv_esp/video/7312432202703310113?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/17/2023 07:05 PM EST -0500,"🌍💔 Nadie sale vivo de la industria ganadera. Más del 90% de los animales criados para carne, leche y huevos viven una vida de encierro en cobertizos o depósitos gigantes, sin estímulos mentales ni cuidados individuales.  😢 Millones mueren en esas jaulas antes de llegar a la edad de sacrificio, sin ser vistos ni considerados. @HealthSaveArgentina  #animales #cerdos #ganadería #carne #amigosnocomida #govegan ",,,131,16.6,12,8,26,18.2,19.8,143,https://www.tiktok.com/@genv_esp/video/7313719123870092577?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/18/2023 07:02 PM EST -0500,"🌟¡Deseamos un año nuevo compasivo y libre de crueldad!  🌱 Hagamos la promesa de probar el veganismo por los animales y crear un mundo en donde la amabilidad no conozca límites. Brindamos por un año lleno de amor, empatía y cambios positivos. 💚🐾.   🌍🌿 Visita nuestra página en genv.org para conocer más. @FarmSanctuary #AñoNuevoVeganoNuevo #CompasionEnAccion #animalesfelices #FelizAñoNuevo #mideseo  #añonuevo ",,,609,18.3,58,28,126,18.9,20.7,667,https://www.tiktok.com/@genv_esp/video/7314089333042990368?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/20/2023 07:08 PM EST -0500,"ASÍ LUCE LA PAZ EN LA TIERRA Cada criatura merece ser tratada con afecto y consideración, merece tener la oportunidad de disfrutar de la compañía y la chance de experimentar todo lo que la vida tiene para ofrecer.  ✨️ Prueba nuestro desafío vegano hoy por Tabea  💞   🌍🌿 Visita nuestra página Genv.Org ó accede directamente dando clic en el enlace de nuestra BIO para conocer más. #pavos #inspiración #historias #cuteanimals #navidadvegana #govegan ",,,182,30.5,15,25,47,23.9,25.8,197,https://www.tiktok.com/@genv_esp/video/7314833092793912609?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/22/2023 07:11 PM EST -0500,"Felices fiestas desde el equipo de GenV 🌟🎄 Te deseamos una temporada llena de alegría, calidez y celebraciones sostenibles. Brindamos por difundir amor y amabilidad en cada rincón del mundo. ✨ 🌍🌿 Visita nuestra página en genv.org ó da clic en el enlace de nuestra BIO. #EquipoGENV #FelicesFiestas #Navidad #FelizNavidad #Vegana #VidaVegana",,,323,15.1,38,7,38,10.5,11.8,361,https://www.tiktok.com/@genv_esp/video/7315575981371034913?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/24/2023 07:01 PM EST -0500,"En este día de Navidad, conoce la historia del padre Munro. 🙏 Después de sufrir un derrame cerebral, el padre decidió que necesitaba cambiar su alimentación.  Luego del susto, abrió los ojos a los horrores a los que los animales son forzados a enfrentarse en nuestro sistema alimentario y decidió extender su compasión a TODAS las criaturas de Dios. 🕊️ ¡Protege a los animales del sufrimiento en la industria, elige el veganismo! 🌱 👉🏽 Visita GenV.Org ó da clic en el  Link de nuestra BIO para más información. #Fe #creencias #religión #reflexión #vegana #inspiración  #veganism ",,,180,32.2,22,16,43,21.3,23.9,202,https://www.tiktok.com/@genv_esp/video/7316315702430829857?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/26/2023 06:59 PM EST -0500,"Reflexionando sobre un año increíble en GenV. 🌱 ⚡️Desde el lanzamiento de miles de anuncios veganos hasta la liberación de animales y ayuda solidaria de comidas en todo el mundo, no podríamos haberlo logrado sin tu apoyo. Estamos agradecidas por nuestra increíble comunidad y emocionadas por lo que nos depara el 2024. 💚 #Logros2023  #gracias  #añonuevo  #añonuevo2024  #felizañonuevo ",,,240,7.6,28,4,12,4.5,5.0,268,https://www.tiktok.com/@genv_esp/video/7317057231894187296?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/28/2023 06:59 PM EST -0500,"Tanto si eres vegan hace mucho tiempo y necesitas refrescar la información que ves a diario, como si eres nueva en el mundo del antiespecismo, aquí te dejamos nuestras mejores recomendaciones para que comiences el 2024 con un feed innovador.  ⚡️🤳🏼 ¿Y tú? ¿A quiénes nos recomiendas seguir? ¡Te leemos!                                                                                                                                @sentient_media @econews.es @colombiaveg @eticaanimal #AñoNuevo #Vegan #GoVegan #GenV #NewYear ",,,317,67.6,40,56,20,5.6,6.3,357,https://www.tiktok.com/@genv_esp/video/7317799346064461088?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/29/2023 07:02 PM EST -0500,"🌎✨ En un mundo aparentemente dividido, la amabilidad es una fuerza revolucionaria.  Vivimos la vida lado a lado, compartiendo este planeta y todo lo que nos ofrece. Nuestros destinos están entrelazados y actuar por el bien de uno es actuar por el bien de todes. 🌟✨ ¡Nuevo año, nueva perspectiva! Durante este 2024, explora algunas de las ideas del equipo de GenV para tener un impacto positivo en otres. Si abrazar el veganismo está entre tus prioridades este año, revisa nuestros desafíos de 7 y 30 días. Permítenos guiarte en este camino de transformación. Comienza en GenV.Org 💚 #AñoNuevo #2024 #GenV #Veganismo #Animales #Vegan #NewYear",,,271,9.9,45,7,23,7.3,8.5,316,https://www.tiktok.com/@genv_esp/video/7318171371589127457?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/01/2024 00:32 PM EDT -0400,"Even amidst conflict, Tamara's group remains steadfast in their commitment to veganism. 🪖🌱 @Кожна Тварина  #Vegan #Ukraine",,,806,27.8,91,84,127,14.2,15.8,897,https://www.tiktok.com/@genv_eng/video/7386705927824624927?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/01/2024 04:02 PM EDT -0400,"🔊Sound on📢 🐮 Meet Nitin, a curious cow who was rescued from a dairy farm. He would have been sold to a slaughterhouse but instead, he now lives at the Ahimsa Farm Animal Sanctuary where he is loved and cared for. 🌱💚 #asmr #cows",Simon Plazolles-Hayes,,945,35.9,89,95,156,15.1,16.5,1034,https://www.tiktok.com/@genv_eng/video/7386760281050942762?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/02/2024 00:23 PM EDT -0400,"The world is filled with violence and suffering but we as individuals can spread love and kindness throughout the world by speaking up for those whose voices are too often ignored or marginalized.   Generation Vegan’s CEO Naomi Hallum gave this powerful speech on National Animal Right’s Day to unify, educate, and inspire activists!   We are so much stronger together.   Watch the full speech on our youtube!   #NationalAnimalRightsDay #BeKind #BetterTogether #Activism",,,11,15.8,2,0,1,7.7,9.1,13,https://www.tiktok.com/@genv_eng/video/7387074979474607406?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/03/2024 01:56 PM EDT -0400,"Behind every meat, dairy, and egg package is a story.   A story of an individual who was confined, who had their babies taken, who never got to see the light of day, who was killed against their will.   Plant-based products don’t have a violent past. Try our vegan challenge at genv.org.   Video by: @animalsaustralia   #vegan #truth #AnimalRights",,,753,40.8,68,65,113,13.8,15.0,821,https://www.tiktok.com/@genv_eng/video/7387469868548902187?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/04/2024 04:23 PM EDT -0400,"This is the heartwarming moment these pigs finally taste freedom from factory farming and experience what is natural and right for them in a sanctuary.  Just like us, animals desire to live freely.  Going vegan saves animals a lifetime of captivity and exploitation. #pig #CuteAnimals    🎥 @vivacharity",,,35,21.8,3,1,6,15.8,17.1,38,https://www.tiktok.com/@genv_eng/video/7387878809044897054?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/07/2024 02:28 PM EDT -0400,"🐣 In the egg industry, male chicks are nothing more than an unwanted by-product. #egg #chickens",,,1457,61.8,104,306,66,4.2,4.5,1561,https://www.tiktok.com/@genv_eng/video/7388962536340639007?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/09/2024 03:11 PM EDT -0400,"This kid is only one day old, and she is fortunate because her mother was rescued from a slaughterhouse while she was pregnant.❣️   She will live a happy and fulfilling life with 120 other goats like her at Ahimsa Farm Animal Sanctuary  But not all goats are as lucky as her and we all have the chance to do something about it.   Studies have shown that by going vegan, you can save 100 animals in a year. Please. Do your bit. #goat ",,,802,29.0,77,79,111,12.6,13.8,879,https://www.tiktok.com/@genv_eng/video/7389715755132144942?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/10/2024 10:55 AM EDT -0400,"This happy sheep is a reminder that farmed animals aren’t all that different from our dogs and cats at home. They jump for joy, they lick you, they want to be treated with love and kindness too. 🐑❤️   Embrace a vegan lifestyle for a kinder world. 🌱   #VeganLiving #AnimalRights #LoveAllBeings   Video by: @mablesfriends",,,23,51.9,4,8,6,22.2,26.1,27,https://www.tiktok.com/@genv_eng/video/7390020975242284330?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
07/12/2024 11:22 AM EDT -0400,"🐷These sensitive beings are kept in cramped, filthy conditions, and are deprived of the freedom to express their natural behaviors. It’s time to end this cruelty. Choose compassion over cruelty. Go vegan. 🌱 #GoVegan",Simon Plazolles-Hayes,,22,49.2,3,4,5,20.0,22.7,25,https://www.tiktok.com/@genv_eng/video/7390769908759416106?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
