Entity,Code,Year,Midpoint,Upper bound,Lower bound
Namibia,NAM,2016,1461517300,1747785600,1175249200
Nauru,NRU,2016,4502770,6472750,2532789.5
Nepal,NPL,2016,392500540,563706100,221294960
Netherlands,NLD,2016,2607537200,3622172200,1592901900
Netherlands Antilles,ANT,2016,6881107,10176828,3585385.5
New Caledonia,NCL,2016,11850484,19459878,4241090
New Zealand,NZL,2016,3446563000,5939372000,953754200
Nicaragua,NIC,2016,105443980,151846670,59041296
Niger,NER,2016,606228600,870451140,342006080
Nigeria,NGA,2016,12545885000,20594921000,4496848400
Niue,NIU,2016,213399.77,354035.7,72763.85
North America,,2016,54570697000,82506646000,26634748000
North Korea,PRK,2016,2392011500,3466876200,1317147000
North Macedonia,MKD,2016,2941942.8,4204362.5,1679522.9
Northern Mariana Islands,MNP,2016,921560.25,1372023.9,471096.66
Norway,NOR,2016,21944504000,29419630000,14469377000
Oceania,,2016,6850793000,10997639000,2703946800
Oman,OMN,2016,2778494500,4316527600,1240461200
Other countries,,2016,323803680,609154900,38452456
Pakistan,PAK,2016,7003064300,10891265000,3114863000
Palau,PLW,2016,16484096,23676580,9291612
Palestine,PSE,2016,84700420,158605860,10794980
Panama,PAN,2016,3884004900,5516856300,2251153700
Papua New Guinea,PNG,2016,318760640,468636030,168885220
Paraguay,PRY,2016,328064160,471164500,184963800
Peru,PER,2016,317118350000,470713430000,163523300000
Philippines,PHL,2016,60539750000,107242810000,13836686000
Pitcairn,PCN,2016,55126.477,79172.2,31080.754
Poland,POL,2016,5838509000,7247671300,4429347000
Portugal,PRT,2016,1388199200,2019674600,756723800
Puerto Rico,PRI,2016,8452111,12278580,4625642.5
Qatar,QAT,2016,209504740,304575840,114433620
Reunion,REU,2016,4313921.5,6245024,2382819.2
Romania,ROU,2016,151561340,282908580,20214110
Russia,RUS,2016,28545747000,42877985000,14213508000
Rwanda,RWA,2016,292633000,419949820,165316140
Saint Barthelemy,BLM,2016,1837549.2,2639073.2,1036025.2
Saint Helena,SHN,2016,1507359.2,2183820,830898.6
Saint Kitts and Nevis,KNA,2016,1426960000,2735106800,118813160
Saint Lucia,LCA,2016,9870981,14236037,5505924.5
Saint Martin (French part),MAF,2016,1653794.5,2375166.2,932422.6
