Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+Premier_Foods+2022,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,Premier Foods,2022,10.0,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Business_Human_Rights_Resource_Centre+Modern_Slavery_Statement+Philipp_Kuehl+Premier_Foods+2023,Business & Human Rights Resource Centre+Modern Slavery Statement+Philipp Kuehl,Premier Foods,2023,10.0,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/GreenDex+Modern_Slavery_Statement+Premier_Foods+2020,GreenDex+Modern Slavery Statement,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/GreenDex+Modern_Slavery_Statement+Premier_Foods+2021,GreenDex+Modern Slavery Statement,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/GreenDex+Modern_Slavery_Statement+Premier_Foods+2022,GreenDex+Modern Slavery Statement,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/GreenDex+Modern_Slavery_Statement+Premier_Foods+2023,GreenDex+Modern Slavery Statement,Premier Foods,2023,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/~12561151,Walk Free+MSA registry submission,Premier Foods,2020,UK Registry submission,https://wikirate.org/~8075221,12561151.0,https://www.premierfoods.co.uk/CorporateSite/media/documents/responsibility/modern_slavery/Premier_Foods_Modern_Slavery_Statement_12_May_2021.pdf,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~14503510,Walk Free+MSA registry submission,Premier Foods,2021,UK Registry submission,https://wikirate.org/~14498569,14503510.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/VujC95sO/2022/MODERN SLAVERY STATEMENT - Approved May 22.pdf,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15440197,Walk Free+MSA registry submission,Premier Foods,2022,UK Registry submission,https://wikirate.org/~15415291,15440197.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/C495qVDR/2023/MODERN SLAVERY STATEMENT - 2023 FINAL signed.pdf,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~19972342,Walk Free+MSA registry submission,Premier Foods,2023,UK Registry submission,https://wikirate.org/~19893105,19972342.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/pdf-published/VujC95sO/2024/MODERN SLAVERY STATEMENT - 2024.pdf,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_reporting_threshold+Premier_Foods+2020,Walk Free+MSA reporting threshold,Premier Foods,2020,Over,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_reporting_threshold+Premier_Foods+2021,Walk Free+MSA reporting threshold,Premier Foods,2021,Over,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_reporting_threshold+Premier_Foods+2023,Walk Free+MSA reporting threshold,Premier Foods,2023,Under,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_Sector+Premier_Foods+2020,Walk Free+MSA Sector,Premier Foods,2020,Other,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_Sector+Premier_Foods+2023,Walk Free+MSA Sector,Premier Foods,2023,Other,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_statement_assessed+Premier_Foods+2020,Walk Free+MSA statement assessed,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_statement_assessed+Premier_Foods+2021,Walk Free+MSA statement assessed,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_statement_assessed+Premier_Foods+2022,Walk Free+MSA statement assessed,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_statement_assessed+Premier_Foods+2023,Walk Free+MSA statement assessed,Premier Foods,2023,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+Premier_Foods+2020,Walk Free+MSA statement homepage link,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+Premier_Foods+2021,Walk Free+MSA statement homepage link,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+Premier_Foods+2022,Walk Free+MSA statement homepage link,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+Premier_Foods+2023,Walk Free+MSA statement homepage link,Premier Foods,2023,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_Statement_Publication+Premier_Foods+2020,Walk Free+MSA Statement Publication,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_Statement_Publication+Premier_Foods+2021,Walk Free+MSA Statement Publication,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_Statement_Publication+Premier_Foods+2022,Walk Free+MSA Statement Publication,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+MSA_Statement_Publication+Premier_Foods+2023,Walk Free+MSA Statement Publication,Premier Foods,2023,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20283477,Business & Human Rights Resource Centre+MSA statement signed,Premier Foods,2023,Signed by CEO,https://wikirate.org/~19913637,20283477.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,2.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/Business_Human_Rights_Resource_Centre+MSA_statement_signed_binary+Premier_Foods+2023,Business & Human Rights Resource Centre+MSA statement signed (binary),Premier Foods,2023,Yes,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8834967,Home Office+Organisation Sectors,Premier Foods,2020,Food and beverages/ agriculture and fishing,https://wikirate.org/~8406934,8834967.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2021,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20209196,Home Office+Organisation Sectors,Premier Foods,2023,Food and beverages/ agriculture and fishing,https://wikirate.org/~19913637,20209196.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15285171,Commons+Parent of,Premier Foods,2020,3,,15285171.0,,0.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15325738,Commons+Parent of,Premier Foods,2021,3,,15325738.0,,0.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~6294529,Alliance for Corporate Transparency+Sector,Premier Foods,2019,Food & Beverages,https://wikirate.org/~6178396,6294529.0,https://act.frankbold.org/report/list,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~8820995,Home Office+Turnover (range),Premier Foods,2020,Over £500 million,https://wikirate.org/~8406934,8820995.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2021,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~15058636,Home Office+Turnover (range),Premier Foods,2021,Over £500 million,https://wikirate.org/~15043131,15058636.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2022,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/~20216728,Home Office+Turnover (range),Premier Foods,2023,Under £36 million,https://wikirate.org/~19913637,20216728.0,https://modern-slavery-statement-registry.service.gov.uk/statement-summary/VujC95sO/2024,1.0,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+UK_MSA_statement_assessed+Premier_Foods+2020,Walk Free+UK MSA statement assessed,Premier Foods,2020,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+UK_MSA_statement_assessed+Premier_Foods+2021,Walk Free+UK MSA statement assessed,Premier Foods,2021,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+UK_MSA_statement_assessed+Premier_Foods+2022,Walk Free+UK MSA statement assessed,Premier Foods,2022,No,,,,,,GB00B7N0K053;US74051J2006
https://wikirate.org/Walk_Free+UK_MSA_statement_assessed+Premier_Foods+2023,Walk Free+UK MSA statement assessed,Premier Foods,2023,Partially assessed,,,,,,GB00B7N0K053;US74051J2006
