Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~3173713,Business & Human Rights Resource Centre+MSA Statement Approval,Tate & Lyle PLC,2015,Approved by Board,https://wikirate.org/~3153566,3173713.0,,1.0,This Statement was approved by the Board of Tate & Lyle PLC on 24May 2016.2 Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 10:57:33 UTC,GB00BP92CJ43;US8765707067
https://wikirate.org/Business_Human_Rights_Resource_Centre+MSA_Statement_Approval_binary+Tate_Lyle_PLC+2015,Business & Human Rights Resource Centre+MSA Statement Approval (binary),Tate & Lyle PLC,2015,Yes,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_statement_assessed+Tate_Lyle_PLC+2016,Walk Free+MSA statement assessed,Tate & Lyle PLC,2016,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_statement_assessed+Tate_Lyle_PLC+2021,Walk Free+MSA statement assessed,Tate & Lyle PLC,2021,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_statement_assessed+Tate_Lyle_PLC+2022,Walk Free+MSA statement assessed,Tate & Lyle PLC,2022,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_statement_assessed+Tate_Lyle_PLC+2023,Walk Free+MSA statement assessed,Tate & Lyle PLC,2023,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+Tate_Lyle_PLC+2016,Walk Free+MSA statement homepage link,Tate & Lyle PLC,2016,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+Tate_Lyle_PLC+2017,Walk Free+MSA statement homepage link,Tate & Lyle PLC,2017,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+Tate_Lyle_PLC+2021,Walk Free+MSA statement homepage link,Tate & Lyle PLC,2021,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+Tate_Lyle_PLC+2022,Walk Free+MSA statement homepage link,Tate & Lyle PLC,2022,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_statement_homepage_link+Tate_Lyle_PLC+2023,Walk Free+MSA statement homepage link,Tate & Lyle PLC,2023,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Statement_Publication+Tate_Lyle_PLC+2016,Walk Free+MSA Statement Publication,Tate & Lyle PLC,2016,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Statement_Publication+Tate_Lyle_PLC+2017,Walk Free+MSA Statement Publication,Tate & Lyle PLC,2017,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Statement_Publication+Tate_Lyle_PLC+2021,Walk Free+MSA Statement Publication,Tate & Lyle PLC,2021,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Statement_Publication+Tate_Lyle_PLC+2022,Walk Free+MSA Statement Publication,Tate & Lyle PLC,2022,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/Walk_Free+MSA_Statement_Publication+Tate_Lyle_PLC+2023,Walk Free+MSA Statement Publication,Tate & Lyle PLC,2023,No,,,,,,GB00BP92CJ43;US8765707067
https://wikirate.org/~3173742,Business & Human Rights Resource Centre+MSA statement signed,Tate & Lyle PLC,2016,Signed by CEO,https://wikirate.org/~3153566,3173742.0,,1.0,Javed Ahmed Chief Executive 24 May 2016 Yash Bhatia[https://wikirate.org/Yash_Bhatia].....2017-10-18 10:59:10 UTC p.2 Javed Ahmed Chief Executive 24 May 2016 Aileen Robinson[https://wikirate.org/Aileen_Robinson].....2022-11-08 16:45:29 UTC,GB00BP92CJ43;US8765707067
https://wikirate.org/Business_Human_Rights_Resource_Centre+MSA_statement_signed_binary+Tate_Lyle_PLC+2016,Business & Human Rights Resource Centre+MSA statement signed (binary),Tate & Lyle PLC,2016,Yes,,,,,,GB00BP92CJ43;US8765707067
