Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~18474851,World Benchmarking Alliance+CSI.14.C At least 30% Women on Highest Governance Body,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/~18475466,World Benchmarking Alliance+CSI.14.D Gender Pay Ratio Disclosure,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/World_Benchmarking_Alliance+CSI_14_Gender_equality_and_women_s_empowerment_fundamentals+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 14 Gender equality and women’s empowerment fundamentals,BOPARAN HOLDINGS LIMITED,2023,No,
https://wikirate.org/World_Benchmarking_Alliance+CSI_14_Gender_equality_and_women_s_empowerment_fundamentals+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 14 Gender equality and women’s empowerment fundamentals+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,0.0,
https://wikirate.org/~18476081,World Benchmarking Alliance+CSI.15.A Personal Data Protection Commitment,BOPARAN HOLDINGS LIMITED,2023,Yes,https://wikirate.org/~18088734
https://wikirate.org/World_Benchmarking_Alliance+CSI_15_A_Personal_Data_Protection_Commitment+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI.15.A Personal Data Protection Commitment+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,10.0,
https://wikirate.org/~18476696,World Benchmarking Alliance+CSI.15.B Personal Data Protection Policy,BOPARAN HOLDINGS LIMITED,2023,Yes,https://wikirate.org/~18088734
https://wikirate.org/World_Benchmarking_Alliance+CSI_15_B_Personal_Data_Protection_Policy+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI.15.B Personal Data Protection Policy+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,10.0,
https://wikirate.org/World_Benchmarking_Alliance+CSI_15_Personal_data_protection_fundamentals+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 15 Personal data protection fundamentals,BOPARAN HOLDINGS LIMITED,2023,10.0,
https://wikirate.org/~18477311,World Benchmarking Alliance+CSI.16.A Responsible Tax Strategy,BOPARAN HOLDINGS LIMITED,2023,Yes,https://wikirate.org/~18088734
