email_url,content,type,position,date,emails_sent,open_rate,click_through_rate,delivery_rate,bounce_rate,unsubscribe_rate,spam_rate,share_rate
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,"Eso significa que se entregarán más de 100.000 comidas de origen vegetal a hospitales en Italia y Francia; a veteranos sin hogar en USA; a trabajadores de salud en España y a comunidades vulnerables en Argentina, Brasil, México, Reino Unido e India. También proporcionaremos comidas para 250 niños de escuela primaria en Etiopía durante los próximos cuatro meses.",text,5,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,https://i2.createsend1.com/ei/t/C5/7CB/2A5/csimport/MDV104.031306.jpg,image,6,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,"Hacemos esto por dos razones. En primer lugar, queremos hacer todo lo posible para apoyar a las personas más vulnerables y proporcionarles alimentos saludables y deliciosos. Pero también porque el mundo debe saber que esto es una pandemia de la que somos responsables, y la mejor manera de asegurarnos de que no tengamos que pasar por esto nuevamente es cambiando nuestra alimentación.",text,7,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,¿Quieres saber más sobre nuestra entrega de comida a nivel mundial?Lee nuestro blog aquí.,text,8,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,https://i3.createsend1.com/ei/t/C5/7CB/2A5/csimport/VIDEO3.031419.png,image,9,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,"Durante años, los expertos nos han estado advirtiendo que vendría una pandemia como COVID-19, o peor, como la gripe de 1918 que mató entre 50 a 100 millones de personas, y que cuando sucediera, sería un virus del que seríamos responsables.",text,10,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,VER VIDEO,text,11,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,"La gripe aviar, la gripe porcina, el MERS, el SARS, el SIDA, el Ébola, la COVID-19 y muchas enfermedades más terribles como la tuberculosis, la tos ferina, la lepra y la fiebre tifoidea, provienen de nuestro maltrato hacia los animales, tanto salvajes como criados. Y a menos que cambiemos nuestro comportamiento, es absolutamente seguro que otra pandemia aparezca. ¿No es hora de que entendamos que toda la vida en la Tierra está conectada?Para preservar nuestras propias vidas, también debemos esforzarnos por preservar las vidas de los demás, incluidas las de los animales.",text,12,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,LEER MÁS,text,13,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,https://i4.createsend1.com/ei/t/C5/7CB/2A5/csimport/ES-IG-_Icon.031824.jpg,image,14,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
https://email.milliondollarvegan.com/campaigns/reports/viewCampaign.aspx?d=t&c=C22B83A967BC3523&ID=0A99B5E84764202A2540EF23F30FEDED&temp=False&tx=0&source=Report,Usa nuestroefecto de máscarareceptiva y etiqueta a @milliondollarveganespanol para que podamos volver a publicarlo en nuestras historias.,text,15,2 May 2020,"61,274",0.03,0.00,0.99,0.01,0.00,0.00,0.00
